name,createdAt,updatedAt,pullRequests,releases,primaryLanguage,issuesclosed,issuesopen,url,stargazerCount
ARouter,2016-12-14T01:27:49Z,2022-09-11T17:23:02Z,79,16,Java,779,86,https://github.com/alibaba/ARouter,13936
material-components-android,2016-12-05T16:11:29Z,2022-09-11T15:30:53Z,13,59,Java,2075,366,https://github.com/material-components/material-components-android,13935
presto,2012-08-09T01:03:37Z,2022-09-11T16:28:39Z,8684,0,Java,4243,808,https://github.com/prestodb/presto,13875
QMUI_Android,2017-04-21T10:03:18Z,2022-09-09T09:59:53Z,21,35,Java,702,406,https://github.com/Tencent/QMUI_Android,13773
APIJSON,2016-11-21T12:03:29Z,2022-09-11T22:52:08Z,82,89,Java,205,140,https://github.com/Tencent/APIJSON,13746
JustAuth,2019-01-31T09:42:20Z,2022-09-11T13:33:11Z,56,45,Java,54,27,https://github.com/justauth/JustAuth,13734
VirtualXposed,2017-12-01T09:00:58Z,2022-09-12T00:18:22Z,40,50,Java,935,105,https://github.com/android-hacker/VirtualXposed,13646
Material-Animations,2015-03-08T20:54:00Z,2022-09-06T03:05:00Z,12,0,Java,28,13,https://github.com/lgvalle/Material-Animations,13559
mybatis-plus,2016-08-18T10:06:53Z,2022-09-11T16:33:34Z,341,22,Java,3914,122,https://github.com/baomidou/mybatis-plus,13483
keycloak,2013-07-02T13:38:51Z,2022-09-12T01:26:11Z,8389,24,Java,1544,1167,https://github.com/keycloak/keycloak,13474
Algorithms,2017-03-18T02:50:46Z,2022-09-11T21:38:25Z,60,0,Java,104,58,https://github.com/williamfiset/Algorithms,13436
openapi-generator,2018-05-12T09:57:56Z,2022-09-11T20:02:55Z,6222,49,Java,2609,3135,https://github.com/OpenAPITools/openapi-generator,13409
logger,2015-03-20T22:30:12Z,2022-09-09T14:21:47Z,29,16,Java,135,67,https://github.com/orhanobut/logger,13395
mockito,2012-10-13T20:27:12Z,2022-09-12T01:20:23Z,1079,191,Java,1059,325,https://github.com/mockito/mockito,13280
bytecode-viewer,2014-10-14T10:26:46Z,2022-09-11T19:36:35Z,100,58,Java,244,76,https://github.com/Konloch/bytecode-viewer,13239
Android-PickerView,2014-12-28T01:46:38Z,2022-09-06T16:13:57Z,32,0,Java,533,411,https://github.com/Bigkoo/Android-PickerView,13176
Arduino,2010-09-17T19:10:36Z,2022-09-11T20:01:20Z,713,37,Java,9078,718,https://github.com/arduino/Arduino,13148
vert.x,2011-06-17T14:54:55Z,2022-09-11T12:51:09Z,1259,0,Java,2259,177,https://github.com/eclipse-vertx/vert.x,13139
