name,createdAt,updatedAt,pullRequests,releases,primaryLanguage,issuesclosed,issuesopen,url,stargazerCount
Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,2022-10-02T21:53:30Z,347,0,,58,20,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,47911
HowToCook,2020-02-29T10:43:49Z,2022-10-02T16:28:51Z,427,1,Shell,235,312,https://github.com/Anduin2017/HowToCook,47357
fzf,2013-10-23T16:04:23Z,2022-10-02T23:50:51Z,339,20,Go,1965,249,https://github.com/junegunn/fzf,47310
manim,2015-03-22T18:50:58Z,2022-10-02T23:38:12Z,517,10,Python,652,338,https://github.com/3b1b/manim,47226
hoppscotch,2019-08-21T13:15:24Z,2022-10-02T21:56:42Z,965,15,Vue,797,87,https://github.com/hoppscotch/hoppscotch,47212
awesome-nodejs,2014-07-11T13:35:34Z,2022-10-02T21:24:27Z,391,0,,96,0,https://github.com/sindresorhus/awesome-nodejs,47038
moment,2011-03-01T02:46:06Z,2022-10-02T20:05:18Z,712,0,JavaScript,3820,178,https://github.com/moment/moment,46952
syncthing,2013-11-26T09:48:21Z,2022-10-02T23:17:09Z,2226,311,Go,4650,318,https://github.com/syncthing/syncthing,46929
tesseract,2014-08-12T18:04:59Z,2022-10-02T23:01:31Z,1284,22,C++,2056,355,https://github.com/tesseract-ocr/tesseract,46875
RxJava,2013-01-08T20:11:48Z,2022-10-02T20:45:38Z,3103,229,Java,3086,13,https://github.com/ReactiveX/RxJava,46501
github-readme-stats,2020-07-09T10:34:22Z,2022-10-02T23:45:33Z,407,0,JavaScript,706,83,https://github.com/anuraghazra/github-readme-stats,46411
bulma,2016-01-23T23:48:34Z,2022-10-02T20:40:04Z,596,17,CSS,2275,158,https://github.com/jgthms/bulma,46164
guava,2014-05-29T16:23:17Z,2022-10-02T16:17:49Z,363,35,Java,2730,659,https://github.com/google/guava,45826
you-get,2012-08-20T15:53:36Z,2022-10-02T19:59:34Z,560,117,Python,0,0,https://github.com/soimort/you-get,45587
jekyll,2008-10-20T06:29:03Z,2022-10-02T20:00:07Z,3029,103,Ruby,4520,75,https://github.com/jekyll/jekyll,45367
